PMID,FC_7576301,FC_8593205,FC_8924224,FC_9015311,FC_9245791,FC_9443089,FC_9569056,FC_9584145,FC_9649126,FC_9681800,FC_9732293,FC_9832560,FC_10330400,FC_10352017,FC_10491393,FC_10525535,FC_10662776,FC_10811821,FC_11056682,FC_11086000,FC_11157977,FC_11285283,FC_11381093,FC_11401727,FC_11532215,FC_11564752,FC_11591730,FC_11690545,FC_11707154,FC_11737944,FC_11790258,FC_11870542,FC_11879553,FC_11983060,FC_12049663,FC_12058019,FC_12095422,FC_12135983,FC_12147673,FC_12175426,FC_12184807,FC_12184811,FC_12225587,FC_12354330,FC_12429061,FC_12429067,FC_12537560,FC_12538638,FC_12556960,FC_12615908,FC_12659637,FC_12682085,FC_12803655,FC_12823867,FC_12930545,FC_12950995,FC_12962547,FC_12967349,FC_14517204,FC_14557250,FC_14562023,FC_14581449,TA_7576301,TA_8593205,TA_8924224,TA_9015311,TA_9245791,TA_9443089,TA_9569056,TA_9584145,TA_9649126,TA_9681800,TA_9732293,TA_9832560,TA_10330400,TA_10352017,TA_10491393,TA_10525535,TA_10662776,TA_10811821,TA_11056682,TA_11086000,TA_11157977,TA_11285283,TA_11381093,TA_11401727,TA_11532215,TA_11564752,TA_11591730,TA_11690545,TA_11707154,TA_11737944,TA_11790258,TA_11870542,TA_11879553,TA_11983060,TA_12049663,TA_12058019,TA_12095422,TA_12135983,TA_12147673,TA_12175426,TA_12184807,TA_12184811,TA_12225587,TA_12354330,TA_12429061,TA_12429067,TA_12537560,TA_12538638,TA_12556960,TA_12615908,TA_12659637,TA_12682085,TA_12803655,TA_12823867,TA_12930545,TA_12950995,TA_12962547,TA_12967349,TA_14517204,TA_14557250,TA_14562023,TA_14581449
7576301,1,0.069200074,0.179483838,0.076891171,0.0915456,0.169153631,0.112432134,0.084673005,0.055185669,0.111109191,0.073824573,0.089279686,0.099932156,0.09892792,0.097690889,0.135097613,0.089289846,0.085515467,0.218850227,0.092197758,0.11991171,0.06366348,0.093380447,0.08555897,0.241842722,0.093130567,0.114221868,0.131439826,0.137677256,0.1802634,0.170017424,0.194520168,0.164863425,0.238717452,0.149869629,0.10094536,0.130347213,0.125580305,0.11031166,0.201562021,0.201810977,0.24782627,0.196243207,0.099801888,0.21108018,0.140760072,0.240147377,0.090995126,0,0.112827473,0.099336498,0.100580928,0.083292282,0.150877222,0.068443599,0.060653679,0.123888169,0.124070693,0.08908845,0.061730721,0.031397317,0.060587695,1,0.073126611,0.206624201,0.085470238,0.107365003,0.198223961,0.11952859,0.126091836,0.078840819,0.123141556,0.11017594,0.097118153,0.082840024,0.088333352,0.085992505,0.080921345,0.090105739,0.108235563,0.018042454,0.083869171,0.141584046,0.083938006,0.112415473,0.077886098,0.058438637,0.071635827,0.101323499,0.097979325,0.082662293,0.117814218,0,0.167558525,0.054072322,0.133272735,0.041065163,0.118286984,0.084383922,0.086997717,0.09401064,0.048271838,0.060827452,0.093430057,0.066227595,0.097857104,0.045372839,0.089119097,0.122593308,0.02219203,0.084679992,0.073696439,0.040073328,0.083491384,0.071210307,0.068228079,0.067889036,0.068790391,0.129167621,0,0.098273342,0.091656465,0.10325577,0.097174152
8593205,0.063373288,1,0.166339181,0.040419208,0.030514028,0.015804277,0.160136712,0.04706845,0.014574658,0.060653798,0.041567167,0.044249266,0.058724093,0.018060441,0.046874466,0.041209633,0.03612629,0.049930661,0.26998007,0.026566733,0.053585547,0.017102363,0.019422117,0.082814446,0.151450226,0.032873447,0.057980641,0.036085801,0.088306636,0.121934998,0.127790436,0.096615393,0.077992778,0.136942767,0.101841656,0.040960711,0.10723474,0.116241758,0.057238343,0.190510857,0.139179377,0.138322536,0.125521916,0.090475886,0.132367521,0.054751954,0.140477577,0.029260503,0,0.067679665,0.074938412,0.035088382,0.038906917,0.096939696,0.012776326,0.053193925,0.105273338,0.079809873,0.0647295,0.090903655,0.022588816,0,0.056732711,1,0.189404482,0.012403668,0,0.017287306,0.139371417,0.034472907,0.013744949,0.052398761,0.008140237,0.017583706,0.004282035,0.004041754,0.008690227,0.009378346,0.008445673,0.0267491,0.07577659,0,0.010574232,0.01079288,0.004406105,0,0.036508603,0,0,0.03687134,0.01510531,0,0,0.034441086,0,0.020707741,0.022369929,0.009507088,0.042166454,0.015840804,0,0.028762939,0.023567121,0.014044955,0.048301412,0.019415842,0.022965975,0.006310505,0.017797914,0.075166461,0.041076355,0,0.023644485,0.002534325,0.023922849,0,0,0.022298009,0.015109739,0.02008034,0.026917068,0,0.114010519,0.008953154
8924224,0.250040213,0.189951112,1,0.182632533,0.187410113,0.12257553,0.159471847,0.173657937,0.079955884,0.103043282,0.115793887,0.104627195,0.119595777,0.139540996,0.200824173,0.214450443,0.201040372,0.109155365,0.347665991,0.193432984,0.241301962,0.132138389,0.173168862,0.16176836,0.227810695,0.186143338,0.22523714,0.117421435,0.167600777,0.255405337,0.171007738,0.191911361,0.228422755,0.144216308,0.183618981,0.207109605,0.18311049,0.26418254,0.21344116,0.19663677,0.16778542,0.205803023,0.176170101,0.15207118,0.187513818,0.172548506,0.196079697,0.200442201,0,0.223189218,0.175007826,0.122246338,0.128538695,0.174359518,0.079949004,0.129865476,0.168616704,0.197631327,0.242032379,0.173092489,0.043768614,0.108480317,0.266291989,0.187275612,1,0.117496419,0.120297035,0.149413056,0.153164763,0.144111497,0.093899563,0.111867928,0.102884761,0.107242688,0.093213326,0.100362979,0.127676208,0.080244668,0.129945024,0.104104122,0.124493978,0.115197061,0.155927319,0.135536436,0.141282704,0.073105361,0.094791863,0.10561154,0.10105755,0.076862697,0.089820917,0.074094135,0,0.151850616,0.083330355,0.075820389,0.050037462,0.135130334,0.081792412,0.117288295,0.083447086,0.065738568,0.0741176,0.100327664,0.045190665,0.085696239,0.072416939,0.097355299,0.08757063,0.029243734,0.121521982,0.020508138,0.048828922,0.079570926,0.086768997,0.111334847,0.082722065,0.046939399,0.078759483,0.028985827,0.211963498,0.095309021,0.171313502,0.094498772
9015311,0.014353579,0.009452179,0.024465608,1,0.187170143,0.031529079,0.045043408,0.159698243,0.067120951,0.034744053,0.188500263,0.146517425,0.138704513,0.081284554,0.334121277,0.247876333,0.324586474,0.11119788,0.124643118,0.219334913,0.429487347,0.145703099,0.17121067,0.219632172,0.082518003,0.22545698,0.286581555,0.09663992,0.239574384,0.141733724,0.099743332,0.148513986,0.106924136,0.091464321,0.069797932,0.233595386,0.130746565,0.297635261,0.258457045,0.12777557,0.071405838,0.09062792,0.066547372,0.078708329,0.134887048,0.134352162,0.129953287,0.217639408,0,0.152857319,0.05132561,0.23876207,0.147466877,0.075253033,0.032048509,0.06362114,0.131579298,0.099726545,0.19798268,0.204622811,0.005777739,0.177289729,0.084979036,0.01315456,0.088659055,1,0.066016932,0.108313432,0.072785193,0.17451782,0.287097942,0.122662247,0.104682803,0.120988177,0.314565514,0.175413372,0.363676214,0.099094131,0.347122541,0.117774989,0.006324114,0.088714077,0.411243403,0.088732967,0.087452097,0.043112526,0.06488247,0.329221796,0.095579726,0.065465417,0.228028505,0.073017834,0,0.11316966,0.09619157,0.051761236,0.069359256,0.349983137,0.099087376,0.133445275,0.067336401,0.067039028,0.066982994,0.076440939,0.031271721,0.074254057,0.071607723,0.10689324,0.10618456,0.01888742,0.066324646,0.015504744,0.059291884,0.08310428,0.068719916,0.057529144,0.057243267,0.03944223,0.083695348,0.041034364,0.122026333,0.070809228,0.065209533,0.052976974
9245791,0.023615643,0.014446907,0.034503084,0.234910174,1,0.030586385,0.033976392,0.122622953,0.029477598,0.024564389,0.136618807,0.084755555,0.087278568,0.201089498,0.298361239,0.214517882,0.26519845,0.10127131,0.106756511,0.259947593,0.216515798,0.201035825,0.247573678,0.230077424,0.099161832,0.260739814,0.221247054,0.101856397,0.106310781,0.207007593,0.119064056,0.127656311,0.109022556,0.119402153,0.076093092,0.198242708,0.132058472,0.228869435,0.240807281,0.13955234,0.099811422,0.117745606,0.099178884,0.066813818,0.133342437,0.136261038,0.175457038,0.256573666,0,0.19208601,0.060700728,0.190652601,0.152148231,0.073616806,0.052025616,0.096525412,0.123640643,0.089365548,0.222262259,0.173550884,0.009849157,0.202483037,0.108438037,0,0.121893411,0.082775774,1,0.094605836,0.078315067,0.08910155,0.087025858,0.086526065,0.093178905,0.128049111,0.109352186,0.204803336,0.131952792,0.095370714,0.201981875,0.132876794,0,0.108242831,0.107046263,0.093186659,0.124902421,0.076638635,0.0610057,0.09457075,0.111888161,0.087811434,0.086293441,0.167833157,0,0.104235926,0.085196513,0.10151701,0.042869053,0.104763669,0.070074762,0.113476011,0.129707236,0.04149954,0.06349945,0.085954638,0.052543974,0.081087266,0.039007257,0.098582893,0.075025187,0.064029073,0.088353648,0.025928823,0.041833649,0.088464864,0.103878186,0.071225168,0.070871231,0.086174617,0.090385777,0,0.134966151,0.124044093,0.073574713,0.179821051
9443089,0.20229016,0.01702853,0.101395534,0.160845495,0.122980759,1,0.110382472,0.096211889,0.071566387,0.115623913,0.144677998,0.154845463,0.121602919,0.055223322,0.127025002,0.123065117,0.092389915,0.124114444,0.238361027,0.107646433,0.124168484,0.079039557,0.078329058,0.113380978,0.224204944,0.081949366,0.133904686,0.153441278,0.228191591,0.153973666,0.20354873,0.174746176,0.168264908,0.167347607,0.166024396,0.092083125,0.207340994,0.220604901,0.103097349,0.148316993,0.21318562,0.182291247,0.19922407,0.117275774,0.225879678,0.154206886,0.189726026,0.109943994,0,0.123630411,0.089996058,0.153999151,0.119254448,0.158607062,0.09715588,0.142771151,0.150787136,0.141288065,0.095515244,0.087067802,0.037747656,0.07898946,0.204674602,0.021020329,0.123450158,0.124495384,0.09063463,1,0.106968091,0.114042839,0.085503039,0.129184297,0.069722263,0.132752727,0.087014862,0.08669235,0.130327649,0.123321944,0.078532308,0.123166043,0,0.098618922,0.092621874,0.086648372,0.094444596,0.045387449,0.108794959,0.067490284,0.109216469,0.087611918,0.118034466,0.062752042,0.008084494,0.142744021,0.083038156,0.104780426,0.080715203,0.097535814,0.114853843,0.123170179,0.083505367,0.042850008,0.109377116,0.124620912,0.039976519,0.128327427,0.10435641,0.098595706,0.126708227,0.00689855,0.084786777,0,0.068355501,0.064996309,0.101712915,0.098488914,0.073177505,0.062285222,0.132812152,0.047009255,0.092115712,0.090519688,0.101102781,0.050804855
9569056,0.100747465,0.14591305,0.121000904,0.193533792,0.145852738,0.093394377,1,0.164554771,0.085682999,0.085437386,0.144758067,0.102611196,0.096425398,0.07653004,0.183861165,0.153767663,0.146561886,0.075740595,0.279285215,0.151526615,0.194060822,0.115513856,0.150365811,0.147646568,0.173655808,0.17516272,0.165520505,0.083739359,0.220135175,0.169657851,0.124339483,0.165535897,0.168237238,0.111308363,0.129118128,0.199248755,0.145836467,0.177041694,0.169191087,0.214707973,0.154180923,0.139699485,0.128312935,0.089322756,0.141287672,0.12773976,0.146356905,0.137677341,0,0.158795058,0.068579944,0.136901808,0.08135835,0.099857834,0.067205747,0.112836078,0.131883121,0.125569465,0.137764952,0.181222778,0.075432353,0.115134939,0.122891394,0.175440521,0.160454821,0.101905962,0.075967527,0.122482554,1,0.137819045,0.104357898,0.10374719,0.099108366,0.124811166,0.080571955,0.102328448,0.103657761,0.080410247,0.088940286,0.064124591,0.063767917,0.078527662,0.127196675,0.090263078,0.095013765,0.038042548,0.106273978,0.078307153,0.068562633,0.088520981,0.171685657,0.052597087,0.01269938,0.082332122,0.064426783,0.073340405,0.05705305,0.087237838,0.096267425,0.114540875,0.088483057,0.076962284,0.075975398,0.092406746,0.050260876,0.087873454,0.083823616,0.080516068,0.080804692,0.021683175,0.090104172,0,0.071233112,0.058998975,0.085673232,0.082550779,0.070565079,0.070749063,0.160749909,0.056554531,0.116339192,0.087383012,0.217826177,0.056764153
9584145,0.03120704,0.014763757,0.039483086,0.227551811,0.168654434,0.029629876,0.046456018,1,0.036859568,0.033218496,0.207953912,0.108567577,0.117143992,0.089358602,0.208789875,0.186281684,0.18849555,0.15870366,0.103157418,0.178336517,0.2131025,0.11770012,0.184889999,0.208575276,0.066948437,0.162264419,0.268348462,0.106718078,0.124806328,0.115793023,0.071312534,0.184181486,0.121008853,0.090265856,0.050420936,0.127663551,0.084518865,0.280073787,0.143829793,0.09719469,0.094919711,0.073686145,0.081671519,0.056043668,0.116627733,0.093780147,0.109197438,0.149101577,0,0.129299115,0.040030561,0.217192478,0.107939724,0.052116115,0.034334052,0.063315242,0.086987508,0.113487353,0.150340952,0.148438957,0.009739787,0.12541811,0.088520885,0.037996141,0.109527044,0.156138626,0.058965639,0.090172814,0.095250099,1,0.094012342,0.090038254,0.082191694,0.117089363,0.095146698,0.10086409,0.103720349,0.080039476,0.092859151,0.079680677,0.020637877,0.057117658,0.148748863,0.061341629,0.069560251,0.086715003,0.076684887,0.119266785,0.152181087,0.076455521,0.069157818,0.047450033,0.010968447,0.20895635,0.037771696,0.068443624,0.05845562,0.094574544,0.099172923,0.107386118,0.098818542,0.064256538,0.065619908,0.112270096,0.051483746,0.077806816,0.061427926,0.063966955,0.107899407,0.021224779,0.068933678,0.013133453,0.070553558,0.11654655,0.065603691,0.059940684,0.060947019,0.041781584,0.069061306,0.030283534,0.08525607,0.086641951,0.073052265,0.036779148
9649126,0.074487591,0.028759386,0.076788988,0.340976633,0.162690663,0.079477846,0.114039574,0.158927863,1,0.088351554,0.121128881,0.090428268,0.542017087,0.225787653,0.340424309,0.145480305,0.228140305,0.073101202,0.181094153,0.144233179,0.292257594,0.122052462,0.120036357,0.12642756,0.095178549,0.285344868,0.164536228,0.077241411,0.368375513,0.131801664,0.136709636,0.185449449,0.168206446,0.116283093,0.129497687,0.448963666,0.089989131,0.20853842,0.107237798,0.220262465,0.12480531,0.142913552,0.089510767,0.067907767,0.145191986,0.165089757,0.132554625,0.141556374,0,0.142831318,0.085932163,0.147895371,0.088916591,0.133653752,0.057218149,0.104974574,0.107729656,0.11226161,0.107026366,0.164848256,0.038200608,0.120569423,0.088951154,0.031313048,0.090671275,0.260294967,0.081585476,0.092803944,0.105371713,0.127900415,1,0.095330254,0.084269312,0.108461716,0.314939527,0.221539913,0.268099366,0.084673204,0.122523726,0.082943301,0.042916339,0.094877552,0.329901902,0.097372172,0.096754287,0.042257287,0.07540295,0.286565354,0.098194488,0.080063456,0.136711356,0.050623095,0.014106346,0.115936375,0.091499909,0.083651952,0.041211398,0.368844559,0.094847544,0.132586967,0.079485106,0.094037841,0.061044062,0.105427455,0.047853673,0.090237526,0.077738841,0.073930875,0.072124123,0.028902549,0.078939427,0,0.05569973,0.083965742,0.07146389,0.068471043,0.078382994,0.053734633,0.064867167,0.019052971,0.094279328,0.078497546,0.090000699,0.051239075
9681800,0.10894328,0.05408912,0.073100871,0.130229593,0.11682114,0.093897607,0.086946535,0.113280017,0.061256369,1,0.091617406,0.079403107,0.077490839,0.07501079,0.184475427,0.184096129,0.096822967,0.165342083,0.162715755,0.100526936,0.11020859,0.064628575,0.068263959,0.126336988,0.187965793,0.131108611,0.149290418,0.086156799,0.173864651,0.18864165,0.155019239,0.157270064,0.144790931,0.13263655,0.109021934,0.130493458,0.078844038,0.110902157,0.117299685,0.159168997,0.154204225,0.122307758,0.124450712,0.090235516,0.152816006,0.220229078,0.22347946,0.116846342,0.017281113,0.081938376,0.056550214,0.168395926,0.125655731,0.087651404,0.062655335,0.124804791,0.0925407,0.057475993,0.091008528,0.135419334,0.030113595,0.09530426,0.137522443,0.056831767,0.096576197,0.111001241,0.074420541,0.121203757,0.092952098,0.113230115,0.076755713,1,0.061739952,0.094283541,0.073899116,0.084583096,0.074556995,0.075118244,0.073839107,0.103257838,0.018309117,0.075380515,0.091959665,0.06708535,0.093481963,0.038546201,0.074677346,0.057317477,0.115601539,0.074406178,0.105593773,0.05329343,0,0.130807381,0.044311437,0.075027736,0.08649594,0.104560563,0.097541929,0.102658285,0.056348076,0.036391228,0.092890709,0.088066956,0.03395086,0.086571072,0.068427076,0.153819396,0.081874482,0.011717463,0.106650076,0,0.05805228,0.073522044,0.086381732,0.062457833,0.062147463,0.052896974,0.106375889,0.018147069,0.071527706,0.069846509,0.084565863,0.064728227
9732293,0.01783354,0.012078978,0.021101564,0.238753967,0.145310906,0.039738625,0.034367895,0.161043751,0.021308035,0.024594364,1,0.109855298,0.10459057,0.066748477,0.238364733,0.189627101,0.19318402,0.106671536,0.070563761,0.157611125,0.242696886,0.09553475,0.165908076,0.178524379,0.063322211,0.188845902,0.21166368,0.075359154,0.103776154,0.092972405,0.074329725,0.099908556,0.092422581,0.07710239,0.045225954,0.143783638,0.088425121,0.207945806,0.188820366,0.091152729,0.066957827,0.06729382,0.056219061,0.052047131,0.094585138,0.098357159,0.08465168,0.161683569,0,0.130954717,0.028267156,0.435119014,0.081378915,0.039777786,0.029355201,0.076467198,0.086766639,0.066850797,0.131572008,0.154876935,0.007211159,0.124266733,0.090566783,0.014100509,0.083300784,0.12262115,0.083280286,0.065513452,0.096203549,0.120042311,0.082428084,0.06048433,1,0.136195406,0.148926269,0.098403912,0.113571626,0.128399124,0.135549153,0.13471437,0.024407617,0.095847356,0.115781444,0.09300426,0.115101126,0.055565582,0.060489113,0.093992383,0.101634525,0.099393138,0.080955175,0.048954743,0.011316273,0.088820038,0.055057207,0.097998535,0.052000277,0.145151406,0.087133226,0.143017385,0.077842359,0.057150179,0.092404383,0.086807631,0.038388766,0.070418429,0.042974388,0.064323629,0.063897001,0.044669728,0.074754956,0.013549934,0.053998864,0.411361559,0.057329153,0.061841491,0.088724523,0.058613207,0.056855615,0.015284512,0.085948703,0.09397093,0.073848716,0.04426368
9832560,0.036940353,0.01718239,0.029376997,0.241182333,0.130858015,0.055757446,0.038488199,0.135048438,0.025506883,0.03324003,0.159468485,1,0.090065094,0.048000893,0.209935566,0.157759628,0.185704597,0.112872062,0.145884089,0.169111315,0.217282798,0.128268157,0.160224323,0.125041499,0.121767566,0.20787141,0.218911873,0.084440367,0.156803344,0.099842275,0.089150865,0.131943338,0.21903753,0.114643068,0.075973651,0.132878297,0.118979917,0.29947125,0.137128392,0.132616298,0.084599359,0.087300537,0.057425047,0.07827066,0.130260723,0.125997388,0.117123099,0.13414828,0.008628013,0.132695215,0.055864719,0.220129331,0.089057945,0.083823059,0.035002559,0.090451389,0.108714903,0.094033356,0.160740642,0.159679809,0.021869003,0.138738443,0.083382747,0.017070765,0.088955702,0.136840259,0.11251629,0.133827248,0.109482559,0.17010018,0.108999987,0.088681713,0.146524271,1,0.127568292,0.100892587,0.123415393,0.109286246,0.142647502,0.149907954,0.061737745,0.094768963,0.16558171,0.10675656,0.130738774,0.089378782,0.071409589,0.100363426,0.140285584,0.096470021,0.085413725,0.05322964,0.010942463,0.154183398,0.182195026,0.071744647,0.065549414,0.176187312,0.093273655,0.179822404,0.094827063,0.091968279,0.088825965,0.106060499,0.045276163,0.088692299,0.100561264,0.101883894,0.084857268,0.052740249,0.127912933,0.014733161,0.055512008,0.130255023,0.082601811,0.067241703,0.059427993,0.055399651,0.110698508,0.017352983,0.144721539,0.100893344,0.125469831,0.067021267
10330400,0.038545906,0.023883927,0.027472543,0.241134803,0.11069549,0.039370243,0.034394919,0.118169223,0.181065525,0.027458354,0.141685507,0.085242045,1,0.130040124,0.222557837,0.163153875,0.16340785,0.091337709,0.123021019,0.088426321,0.238568421,0.064941322,0.092220503,0.126152781,0.079799347,0.199727456,0.149461445,0.066497411,0.169649205,0.128750853,0.067007772,0.110925882,0.088239657,0.065336208,0.04665907,0.21583559,0.094617756,0.229883473,0.119702229,0.119786636,0.060916698,0.058196571,0.041668317,0.053688174,0.107501591,0.106943057,0.078255358,0.106351194,0.006706345,0.134279537,0.043015802,0.143681497,0.070346787,0.073386853,0.031799274,0.044214672,0.086828927,0.08342335,0.093566968,0.097591211,0.020775631,0.095346365,0.067932123,0.011372868,0.063390512,0.355120352,0.071085897,0.066497337,0.059899203,0.095065523,0.354157149,0.05993548,0.094527126,0.093575751,1,0.193576592,0.304359675,0.110024153,0.125426485,0.109043388,0.005862373,0.064362648,0.42287118,0.061443998,0.063952169,0.03291216,0.058727716,0.359047115,0.09839514,0.070578728,0.174174894,0.039427883,0.010986752,0.087329758,0.048978106,0.060044397,0.032097567,0.39408315,0.081580264,0.109034155,0.078923452,0.06214433,0.047544271,0.069107308,0.047623947,0.085728208,0.043809157,0.067319962,0.072372528,0.013488587,0.065519283,0,0.043381829,0.079085824,0.065713171,0.060040715,0.061048728,0.04185131,0.062195518,0.014839439,0.071089307,0.079966645,0.095492856,0.042974755
10352017,0.048765223,0.012783109,0.058037449,0.201832308,0.475205457,0.024383897,0.037422038,0.135494427,0.122961862,0.041431948,0.134476933,0.060787175,0.182155603,1,0.328098609,0.157560832,0.293524506,0.083072435,0.0596225,0.177563052,0.258410332,0.157400731,0.247077976,0.182891665,0.047074194,0.393762475,0.154751573,0.059735332,0.128918813,0.194886534,0.08328939,0.070710505,0.084271954,0.091199719,0.047046444,0.258761208,0.060317983,0.162312694,0.166377869,0.092262143,0.069086425,0.073079736,0.064423508,0.045055043,0.05186458,0.078954786,0.131007195,0.196110462,0,0.161512969,0.047487369,0.130569803,0.067742102,0.042525705,0.038276253,0.079078173,0.092243799,0.070083165,0.231556695,0.130824025,0.016541077,0.180230117,0.099771912,0.008862677,0.097529753,0.253092047,0.189319082,0.1076966,0.101209114,0.135895353,0.315358488,0.104317818,0.120928307,0.111925257,0.237115179,1,0.350302559,0.092702598,0.316789331,0.115704967,0.020625516,0.071213116,0.397036199,0.122346445,0.167186168,0.083687993,0.076275807,0.334115966,0.095706123,0.080990262,0.07483384,0.101188836,0.01426964,0.099212381,0.083959481,0.10329286,0.053599444,0.525544498,0.111231916,0.144064428,0.08183542,0.063417609,0.079393759,0.112278207,0.07133258,0.126435035,0.063704877,0.087435453,0.072959024,0.030861406,0.079853222,0.025214754,0.056344504,0.089918741,0.082737067,0.086698614,0.079290348,0.06553018,0.099814537,0.019273526,0.149156555,0.120866908,0.085472812,0.081709073
